brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_gmall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_xentro,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
watsons,4,20,4,1,4,11,2,38,95,2,11,4,196,12,True,True,WATSONS
potato corner,0,25,4,2,4,13,2,47,82,3,6,6,194,11,False,True,POTATO CORNER
bdo,0,12,1,2,2,2,3,18,106,1,24,8,179,11,False,True,BANCO DE ORO
bench,3,20,1,2,4,6,1,42,77,3,13,4,176,12,True,True,BENCH
jollibee,0,16,1,2,3,2,2,40,85,4,13,4,172,11,False,True,JOLLIBEE
samsung,0,18,2,2,1,6,2,29,83,0,24,1,168,10,False,True,SAMSUNG
penshoppe,2,18,2,2,4,4,1,40,84,3,1,2,163,12,True,True,PENSHOPPE
executive optical,3,15,2,1,2,3,2,29,78,3,19,0,157,11,False,True,EXECUTIVE OPTICAL
vivo,0,11,1,2,4,1,1,27,80,0,14,3,144,10,False,True,VIVO
aficionado,1,8,1,2,3,1,0,28,59,0,25,8,136,10,False,True,AFICIONADO
famous belgian waffles,0,21,0,0,0,3,0,16,78,0,13,0,131,5,False,True,FAMOUS BELGIAN WAFFLES
oppo,1,4,1,2,4,0,1,21,77,3,15,2,131,11,False,True,OPPO
national bookstore,2,17,1,0,4,7,2,9,84,3,1,0,130,10,False,True,NATIONAL BOOKSTORE
kettle korn,0,9,2,1,4,1,0,28,73,0,6,5,129,9,False,True,KETTLE KORN
kfc,0,14,0,2,2,7,0,21,70,2,11,0,129,8,False,True,KFC
mang inasal,0,7,1,1,3,3,1,30,66,2,10,4,128,11,False,True,MANG INASAL
ian darcy,3,16,1,1,0,4,0,17,69,0,13,0,124,8,False,True,IAN DARCY
chowking,0,11,1,1,2,1,0,25,59,4,16,2,122,10,False,True,CHOWKING
greenwich,0,10,2,1,3,0,0,26,64,3,7,2,118,9,False,True,GREENWICH
dunkin,0,0,1,0,0,8,0,11,72,0,25,0,117,5,False,True,DUNKIN
goldilocks,0,7,1,2,3,4,1,25,47,3,21,2,116,11,False,True,GOLDILOCKS
ace hardware,0,1,1,1,0,0,2,0,88,0,19,3,115,7,False,True,ACE HARDWARE
octagon,0,13,1,0,2,3,2,20,72,1,0,0,114,8,False,True,OCTAGON
huawei,0,13,0,1,4,2,0,20,68,1,3,0,112,8,False,True,HUAWEI
aquaflask,1,17,1,0,0,4,0,18,65,0,4,0,110,7,False,True,AQUAFLASK
regatta,1,11,2,0,3,6,1,20,65,0,0,0,109,8,False,True,REGATTA
ideal vision center,2,13,1,0,1,2,0,7,82,0,0,0,108,7,False,True,IDEAL VISION CENTER
gong cha,0,10,2,2,0,4,2,20,63,2,3,0,108,9,False,True,GONG CHA
classic savory,0,6,1,1,0,2,2,17,72,0,6,0,107,8,False,True,CLASSIC SAVORY
lbc,0,19,0,2,3,6,1,33,5,2,31,3,105,10,False,True,LBC
lbc express,0,2,2,0,1,2,0,6,89,1,0,1,104,8,False,True,LBC EXPRESS
realme,1,3,1,1,0,1,0,18,71,1,2,0,99,9,False,True,REALME
chatime,0,6,0,0,0,5,0,6,48,0,33,0,98,5,False,True,CHATIME
infinix,0,2,1,1,0,0,0,20,54,0,16,0,94,6,False,True,INFINIX
miniso,1,3,1,0,1,3,2,3,70,0,10,0,94,9,False,True,MINISO
davids salon,0,16,1,0,0,3,1,21,40,0,9,0,91,7,False,True,DAVID'S SALON
fruitas,0,7,1,2,1,4,1,19,48,0,6,1,90,10,False,True,FRUITAS
zagu,0,7,1,0,4,2,0,22,46,1,1,5,89,9,False,True,ZAGU
candy corner,0,16,0,0,0,3,1,12,57,0,0,0,89,5,False,True,CANDY CORNER
dairy queen,0,14,2,1,0,4,0,15,51,1,0,0,88,7,False,True,DAIRY QUEEN
shakeys,0,11,1,1,0,2,2,25,45,0,1,0,88,8,False,True,SHAKEYS
mercury drug,2,20,0,2,4,4,2,20,0,2,29,1,86,10,False,True,Mercury Drug
photoline,0,6,1,0,0,0,1,17,60,0,0,0,85,5,False,True,PHOTOLINE
lotto,0,0,0,1,1,0,0,15,49,0,17,2,85,6,False,True,LOTTO
forme,0,6,1,0,3,2,1,13,58,0,0,0,84,7,False,True,FORME
