brand_key,display_name,chain,mall_id,mall_name,region
verve,VERVE,sm,sm-city-iloilo,SM City Iloilo,visayas
optimo global,Optimo Global,filinvest,festival-mall,Festival Mall,metro-manila
pet zafari,Pet Zafari,gmall,gmall-of-davao,GMall of Davao,mindanao
vertext handyphones,VERTEXT HANDYPHONES,sm,sm-city-laoag,SM City Laoag,north-luzon
toris buco corner,TORIS BUCO CORNER,sm,sm-city-butuan,SM City Butuan,mindanao
penshoppe hexi health,PENSHOPPE HEXI HEALTH,xentro,xentro-mall-lemery,XentroMall Lemery,
urban tech,Urban Tech,robinsons,robinsons-imus,Robinsons Place Imus,south-luzon
pentagon dental,Pentagon Dental,robinsons,robinsons-galleria-cebu,Robinsons Galleria Cebu,visayas
urban pawz,URBAN PAWZ,sm,smdc-fame-mall,SMDC Fame Mall,smdc
oil paint store,THE OIL PAINT STORE,araneta,ali-mall,Ali Mall,metro-manila
options studios,Options Studios,megaworld,uptown-mall,Uptown Mall,
options boutique,Options Boutique,megaworld,festive-walk-mall-iloilo,Festive Walk Mall,
urbidontics,URBIDONTICS,ayala,ayala-abreeza,Abreeza,mindanao
oishi maki,Oishi Maki,waltermart,candelaria,WalterMart Candelaria,south-luzon
oraderm care clinic,Oraderm Care Clinic,megaworld,clubhouse-temple-drive,The Clubhouse at Temple Drive,
oishi manju,Oishi Manju,gmall,gmall-of-davao,GMall of Davao,mindanao
very important pets,Very Important Pets,megaworld,alabang-west-parade,Alabang West Parade,
opulence cafe,Opulence Cafe,ortigas,greenhills,Greenhills,metro-manila
optimum skin,Optimum Skin,megaworld,arcovia-city,Arcovia City,
urban seoul,Urban Seoul,megaworld,alabang-west-parade,Alabang West Parade,
toni and guy,TONI AND GUY,ayala,ayala-trinoma,Trinoma,metro-manila
toni guy,TONI GUY,sm,sm-aura,SM Aura,metro-manila
us polo,US Polo,gmall,gmall-of-davao,GMall of Davao,mindanao
optika vision,Optika Vision,gmall,gmall-of-tagum,GMall of Tagum,mindanao
perene cakes and pastries,PERENE CAKES AND PASTRIES,robinsons,robinsons-antipolo,Robinsons Place Antipolo,metro-manila
peppermint 9352438904,Peppermint 9352438904,robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila
tonkatsu aoki,Tonkatsu Aoki,megaworld,lucky-chinatown-imperial-wing,Lucky Chinatown - Imperial Wing,
ojo signature & kids,Ojo Signature & Kids,filinvest,festival-mall,Festival Mall,metro-manila
pera mpc,Pera MPC,robinsons,robinsons-valencia,Robinsons Place Valencia,mindanao
versus barcade,Versus Barcade,megaworld,uptown-parade,Uptown Parade,
utharo san,UTHARO SAN,robinsons,robinsons-gentrias,Robinsons Place Gen. Trias,south-luzon
topnet enterprise,TOPNET ENTERPRISE,sm,sm-megamall,SM Megamall,metro-manila
vertext,Vertext,robinsons,robinsons-ilocos,Robinsons Place Ilocos,north-luzon
ok bob,"OK, BOB",sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
tophealth medical clinics part of keralty clinics,TOPHEALTH MEDICAL CLINICS PART OF KERALTY CLINICS,sm,sm-city-san-lazaro,SM City San Lazaro,metro-manila
oppo safariphone,Oppo/Safariphone,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
oppo premium,Oppo Premium,gmall,gmall-of-davao,GMall of Davao,mindanao
oppo play telecom,Oppo/Play Telecom,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
okonomi takoyaki,OKONOMI TAKOYAKI,robinsons,robinsons-las-pinas,Robinsons Place Las Pinas,metro-manila
topokis,TOPOKIS,sm,sm-city-rosario,SM City Rosario,south-luzon
ussc western union before,USSC -Western Union Before,robinsons,robinsons-tacloban,Robinsons Place Tacloban,visayas
topokkiman,TOPOKKIMAN,sm,sm-city-consolacion,SM City Consolacion,visayas
ussc western union,USSC / Western Union,gmall,gmall-of-digos,GMall of Digos,mindanao
optical house,Optical House,robinsons,robinsons-palawan,Robinsons Place Palawan,south-luzon
toppoki man,TOPPOKI MAN,ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas
optical shop,THE OPTICAL SHOP,sm,sm-city-iloilo,SM City Iloilo,visayas
tops sizzling,TOPS SIZZLING,sm,sm-city-trece-martires,SM City Trece Martires,south-luzon
pet spot supplies and grooming center,PET SPOT SUPPLIES AND GROOMING CENTER,sm,sm-city-sorsogon,SM City Sorsogon,south-luzon
pepd pampanga,PEPD PAMPANGA,sm,sm-city-pampanga,SM City Pampanga,north-luzon
