chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,scraped_at
sm,mall-of-asia-arena-annex-bldg,Mall Of Asia Arena Annex Bldg,metro-manila,"Coral Way cor., J.W. Diokno Blvd., Mall of Asia Complex, Brgy. 076 Zone 10, CBP 1-A, 1300 Pasay City, Philippines",MAAX,https://www.smsupermalls.com/mall-directory/mall-of-asia-arena-annex-bldg/information/,office-annex,2026-07-26
sm,moa-square,MOA Square,metro-manila,MOA Square,SMSQ,https://www.smsupermalls.com/mall-directory/moa-square/information/,mall,2026-07-26
sm,nu-mall-of-asia-building,NU MALL OF ASIA BUILDING,metro-manila,NU MALL OF ASIA BUILDING,NUMA,https://www.smsupermalls.com/mall-directory/nu-mall-of-asia-building/information/,office-annex,2026-07-26
sm,s-maison,S Maison,metro-manila,"Seaside Boulevard, Coral Way, Pasay, 1300 Metro Manila",HTSM,https://www.smsupermalls.com/mall-directory/s-maison/information/,mall,2026-07-26
sm,sky-ranch-baguio,Sky Ranch Baguio,north-luzon,Sky Ranch Baguio,SRBG,https://www.smsupermalls.com/mall-directory/sky-ranch-baguio/information/,amusement-park,2026-07-26
sm,sky-ranch-pampanga,Sky Ranch Pampanga,north-luzon,Sky Ranch Pampanga,SRPP,https://www.smsupermalls.com/mall-directory/sky-ranch-pampanga/information/,amusement-park,2026-07-26
sm,sky-ranch-tagaytay,Sky Ranch Tagaytay,south-luzon,Sky Ranch Tagaytay,STYT,https://www.smsupermalls.com/mall-directory/sky-ranch-tagaytay/information/,amusement-park,2026-07-26
sm,sm-aura,SM Aura,metro-manila,"26th Street Corner McKinley Parkway Bonifacio Global City, Taguig City Philippines",SMAU,https://www.smsupermalls.com/mall-directory/sm-aura/information/,mall,2026-07-26
sm,sm-by-the-bay,SM By the Bay,metro-manila,"Seaside Boulevard, Mall of Asia Complex, Pasay, 1300 Metro Manila",SMBY,https://www.smsupermalls.com/mall-directory/sm-by-the-bay/information/,mall,2026-07-26
sm,sm-cdo-downtown,SM CDO Downtown Premier,mindanao,"Claro M. Recto Ave, Cagayan de Oro, Misamis Oriental",SMCG,https://www.smsupermalls.com/mall-directory/sm-cdo-downtown/information/,mall,2026-07-26
sm,sm-center-angono,SM Center Angono,metro-manila,"Manila East Road, Brgy. San Isidro, Angono, Rizal",SMAN,https://www.smsupermalls.com/mall-directory/sm-center-angono/information/,mall,2026-07-26
sm,sm-center-dagupan,SM Center Dagupan,north-luzon,M.H. Del Pilar & Herroro St Dagupan City Pangasinan,SMDA,https://www.smsupermalls.com/mall-directory/sm-center-dagupan/information/,mall,2026-07-26
sm,sm-center-imus,SM Center Imus,south-luzon,"SM Center Imus, Along NIA Road, Bgy. Alapan IC, Imus City, Cavite.",SMIM,https://www.smsupermalls.com/mall-directory/sm-center-imus/information/,mall,2026-07-26
sm,sm-center-las-pinas,SM Center Las Piñas,metro-manila,"Alabang-Zapote Road, Brgy. Pamplona 2, Las Piñas, Metro Manila, Philippines",SMPN,https://www.smsupermalls.com/mall-directory/sm-center-las-pinas/information/,mall,2026-07-26
sm,sm-center-lemery,SM Center Lemery,south-luzon,"Illustre Avenue corner Calle P. Gomez Street, District IV, Lemery, Batangas",SMLM,https://www.smsupermalls.com/mall-directory/sm-center-lemery/information/,mall,2026-07-26
sm,sm-center-muntinlupa,SM Center Muntinlupa,metro-manila,"Tunasan, Muntinlupa City, Metro Manila",SMMT,https://www.smsupermalls.com/mall-directory/sm-center-muntinlupa/information/,mall,2026-07-26
sm,sm-center-ormoc,SM Center Ormoc,visayas,"SM Center Ormoc, Real Street, Barangay District 14, Ormoc City, Leyte 6541",SMOR,https://www.smsupermalls.com/mall-directory/sm-center-ormoc/information/,mall,2026-07-26
sm,sm-center-pasig,SM Center Pasig,metro-manila,"Eulogio Rodriguez Jr. Ave. cor. Doña Julia Vargas Ave., Frontera Verde, Ortigas Center, Ugong, Pasig City, Metro Manila, Philippines",SMPS,https://www.smsupermalls.com/mall-directory/sm-center-pasig/information/,mall,2026-07-26
sm,sm-center-pulilan,SM Center Pulilan,north-luzon,"Pulilan Diversion Road, Brgy. Sto. Cristo Pulilan, Bulacan",SMPL,https://www.smsupermalls.com/mall-directory/sm-center-pulilan/information/,mall,2026-07-26
sm,sm-center-san-pedro,SM Center San Pedro,south-luzon,"San Pedro, Laguna, Philippines",SMSP,https://www.smsupermalls.com/mall-directory/sm-center-san-pedro/information/,mall,2026-07-26
sm,sm-center-sangandaan,SM Center Sangandaan,north-luzon,Marcelo H Del Pilar St cor Samson Road Brgy 003 Caloocan City 1408,SMSD,https://www.smsupermalls.com/mall-directory/sm-center-sangandaan/information/,mall,2026-07-26
sm,sm-center-tuguegarao-downtown,SM Center Tuguegarao Downtown,north-luzon,"SM Center Tuguegarao Downtown, Luna St. cor. Mabini St., Ugac Sur, Tuguegarao City, 3500, Cagayan, Philippines",SMTD,https://www.smsupermalls.com/mall-directory/sm-center-tuguegarao-downtown/information/,mall,2026-07-26
sm,sm-cherry-antipolo,SM Center Antipolo Downtown,metro-manila,"Cherry Antipolo, Marcos Highway, Barangay Mayamot, Antipolo City",SMAT,https://www.smsupermalls.com/mall-directory/sm-cherry-antipolo/information/,mall,2026-07-26
sm,sm-cherry-congressional,SM Center Congressional,metro-manila,"Pangilinan St, Project 8, Quezon City, Metro Manila",SMCY,https://www.smsupermalls.com/mall-directory/sm-cherry-congressional/information/,mall,2026-07-26
sm,sm-cherry-shaw,SM Center Shaw,metro-manila,"Shaw Boulevard, Brgy. Pleasant Hills, Mandaluyong City",SMSW,https://www.smsupermalls.com/mall-directory/sm-cherry-shaw/information/,mall,2026-07-26
sm,sm-city-bacolod,SM City Bacolod,visayas,"Rizal Street, Reclamation Area, Bacolod City, Philippines",SMBD,https://www.smsupermalls.com/mall-directory/sm-city-bacolod/information/,mall,2026-07-26
sm,sm-city-bacoor,SM City Bacoor,south-luzon,"2/F SM City Bacoor Tirona Highway, corner Emilio Aguinaldo Highway, Bacoor, 4102, Cavite",SMCB,https://www.smsupermalls.com/mall-directory/sm-city-bacoor/information/,mall,2026-07-26
