brand_key,raw_variants,clean_variants,listings,chains,examples
robinsons movieworld,25,2,36,1,ROBINSONS MOVIEWORLD | ROBINSONS MOVIEWORLD ( 0908-811-0150 ) | ROBINSONS MOVIEWORLD ( 0919-087-0827 ) | ROBINSONS MOVIEWORLD ( 0938-860-5351 ) | ROBINSONS MOVIEWORLD ( 0945-795-5202) | ROBINSONS MOVIEWORLD ( 0961-525-0003 ) | ROBINSONS MOVIEWORLD ( 0998-591-3227 ) | ROBINSONS MOVIEWORLD ( 0998-840-3583 )
mcdonalds,10,7,84,11,MC DONALDS | MCDONALD'S | MCDONALDS | Mc Donald's | Mc Donalds | McDONALD'S | McDonald's | Mcdonald's
potato corner,9,6,239,11,POTATO CORNER | POTATO CORNER (KIOSK) | POTATO CORNER 0932-876-1142 | POTATO CORNER+ | Potato Corner | Potato Corner (pixie Forest) | Potato Corner (timezone) | Potato Corner (x-site)
bpi atm,9,9,31,6,BPI (ATM booth) (NEW) | BPI (ATM) | BPI (EXPRESS TELLER ATM) | BPI - ATM | BPI ATM | Bank of the Philippine Islands - ATM | Bpi ( Atm – Alabang- Zapote ) | Bpi ( Atm – Bridgeway)
levis,7,2,88,8,LEVI'S | LEVI'S (8805-2230) | LEVIS | LEVI’S | Levi's | Levi's 5216-563 | Levi’s
world of fun,7,2,54,5,WORLD OF FUN | WORLD OF FUN (OPEN) | WORLD OF FUN 9058818079 | WORLD OF FUN 9058818079 (OPEN) | World Of Fun | World of Fun | World of Fun 9063309735
scents co,7,3,36,5,"THE SCENTS CO | THE SCENTS CO. | THE SCENTS CO. 9973679659 | The Scents Co | The Scents Co. | The Scents Co. 9973679659 | The Scents, Co."
lots a pizza,7,5,9,6,LOT'S A PIZZA | LOTS A PIZZA | LOTS' A PIZZA | Lot's A Pizza | Lots A Pizza | Lots a Pizza | Lots' A Pizza 📲 0948-122-8792
watsons,6,3,229,12,WATSON'S | WATSONS | WATSONS 0995-011-1269 | Watsons | Watsons (east Wing) | Watsons 0923-744-0690
ian darcy,6,1,128,8,IAN DARCY | IAN DARCY (NEW) | IAN DARCY 9176263352 | Ian Darcy | Ian Darcy 9176216444 | Ian Darcy 9230870741
gong cha,6,2,111,9,GONG CHA | GONG CHA (OPEN) | GONG CHA 0938-438-0315 | Gong Cha | Gong Cha 0906-175-3810 | Gong cha
shakeys,6,2,92,9,SHAKEY'S | SHAKEY'S 9278110353 (OPEN) | SHAKEYS | Shakey's | Shakeys | Shakey’s
toms world,6,2,78,6,TOM'S WORLD | TOMS WORLD | TOMS WORLD 0999 983 8319 | Tom's World | Tom's World 8961 6210 (OPEN) | Tom’s World
shawarma shack,6,2,73,8,SHAWARMA SHACK | SHAWARMA SHACK 0917-573-2556 (NEW) | Shawarma Shack | Shawarma Shack (new) | Shawarma Shack 9298246713 | THE SHAWARMA SHACK
auntie annes,6,2,67,8,AUNTIE ANNE'S | AUNTIE ANNE'S (0994-630-3428) | AUNTIE ANNES | Auntie Anne's | Auntie Annes | Auntie Anne’s
lighters galore,6,2,66,9,LIGHTER'S GALORE | LIGHTERS GALORE | Lighter's Galore | Lighter's Galore 9429565643 | Lighters Galore | Lighters Galore 9393843029
