brand_key,display_name,chain,mall_id,mall_name,region
ms cellphone accessories,MS CELLPHONE ACCESSORIES,robinsons,robinsons-dumaguete,Robinsons Place Dumaguete,visayas
my jewellery box,My Jewellery Box,ortigas,greenhills,Greenhills,metro-manila
ms by marjories,MS BY MARJORIES,sm,sm-city-bicutan,SM City Bicutan,metro-manila
mtcs money changer,MTC'S MONEY CHANGER,xentro,montalban-town-center,Montalban Town Center,
mt stomach,MT Stomach,megaworld,california-garden-square,California Garden Square,
pizza hut food cart,Pizza Hut Food Cart,robinsons,robinsons-imus,Robinsons Place Imus,south-luzon
msr pro,MSR PRO,sm,sm-city-marilao,SM City Marilao,north-luzon
my lash salon,MY LASH SALON,ayala,ayala-malls-central-bloc,Ayala Malls Central Bloc,visayas
mrz mobile repair zone,MRZ MOBILE REPAIR ZONE,sm,sm-city-san-mateo,SM City San Mateo,metro-manila
pick up stix,PICK-UP-STIX,sm,sm-city-cabanatuan,SM City Cabanatuan,north-luzon
my laksa,MY LAKSA,sm,sm-city-manila,SM City Manila,metro-manila
mrs goodies,MRS GOODIES,sm,sm-city-cebu,SM City Cebu,visayas
pickleball court,Pickleball Court,filinvest,main-square,Main Square,south-luzon
my health clinic quezon city,MY HEALTH CLINIC - QUEZON CITY,sm,sm-city-north-edsa,SM City North Edsa,metro-manila
msc detour car care center,MSC DETOUR CAR CARE CENTER,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
my jewelry box,My Jewelry Box,ortigas,greenhills,Greenhills,metro-manila
msa academic advancement institute,MSA ACADEMIC ADVANCEMENT INSTITUTE,ayala,ayala-serendra,Shops at Serendra,metro-manila
my j & s,MY J & S,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
pizza hut kiosk,PIZZA HUT KIOSK,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
musik wizzard,Musik Wizzard,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
mtmb,MTMB,starmall,alabang,Starmall Alabang,metro-manila
music mayhem,MUSIC MAYHEM,robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila
my angels two fashion,MY ANGELS TWO FASHION,xentro,balagtas-town-center,Balagtas Town Center,
music house,The Music House,ortigas,greenhills,Greenhills,metro-manila
my box,My Box,gmall,gmall-of-davao,GMall of Davao,mindanao
museum of emotions,MUSEUM OF EMOTIONS,ayala,ayala-center-cebu,Ayala Center Cebu,visayas
museo barbershop nail gallery spa,MUSEO BARBERSHOP NAIL GALLERY SPA,sm,smdc-air-mall,SMDC Air Mall,smdc
pink polish,Pink Polish,gmall,gmall-of-toril,GMall of Toril,mindanao
musashi maru,MUSASHI MARU,ayala,ayala-glorietta,Glorietta,metro-manila
pink polish nail lounge,Pink Polish Nail Lounge,gmall,gmall-of-davao,GMall of Davao,mindanao
musar music,MUSAR MUSIC,sm,sm-city-baguio,SM City Baguio,north-luzon
pink pony tails,Pink Pony Tails,gmall,gmall-of-tagum,GMall of Tagum,mindanao
pieza de mano art ang frames,PIEZA DE MANO ART ANG FRAMES,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
munies,Munies,robinsons,robinsons-iloilo,Robinsons Place Iloilo,visayas
pieza de mano,Pieza De Mano,robinsons,robinsons-manila,Robinsons Place Manila,metro-manila
pink2pink body & face skin,PINK2PINK BODY & FACE SKIN,ayala,ayala-metropoint,Metro Point Mall,metro-manila
pinkies box,PINKIES BOX,robinsons,robinsons-iligan,Robinsons Place Iligan,mindanao
music jam el bonitos,MUSIC JAM EL BONITOS,xentro,xentro-mall-lemery,XentroMall Lemery,
pili ani,Pili Ani,ortigas,greenhills,Greenhills,metro-manila
mu lan general merchandise,MU LAN GENERAL MERCHANDISE,robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila
my angels enterprise,MY ANGELS ENTERPRISE,ayala,ayala-market-market,Market! Market!,metro-manila
pink belles fashion,Pink Belle's Fashion,robinsons,robinsons-tuguegarao,Robinsons Place Tuguegarao,north-luzon
pings eatabols,PING’S EATABOLS,ayala,ayala-capitol-central,Ayala Malls Capitol Central,visayas
pink dot,PINK DOT,ayala,ayala-harbor-point,Harbor Point,north-luzon
pink dough,Pink Dough,megaworld,california-garden-square,California Garden Square,
pines telecom,Pines Telecom,robinsons,robinsons-santiago,Robinsons Place Santiago,north-luzon
mutt chery,MUTT CHERY,sm,sm-mall-of-asia,SM Mall of Asia,metro-manila
mvp taekwando,MVP Taekwando,megaworld,festive-walk-parade,Festive Walk Parade,
mvt mobile,MVT Mobile,megaworld,eastwood-cyber-mall,Eastwood Cyber Mall,
mwell primary care,Mwell Primary Care,filinvest,main-square,Main Square,south-luzon
